Prefix	Last	First	Suffix	FilingType	StateDst	Year	FilingDate	DocID
	Bucardo	Jennyfer		D	NC06	2019	9/3/2019	40001631
Hon.	Buchanan	Vern		O	FL16	2019	8/12/2020	10037477
Hon.	Buchanan	Vern		P	FL16	2019	2/26/2019	20011201
Hon.	Buchanan	Vern		P	FL16	2019	3/28/2019	20011352
Hon.	Buchanan	Vern		P	FL16	2019	4/11/2019	20011446
Hon.	Buchanan	Vern		P	FL16	2019	5/23/2019	20011739
Hon.	Buchanan	Vern		P	FL16	2019	8/8/2019	20012125
Hon.	Buchanan	Vern		P	FL16	2019	10/7/2019	20012441
Hon.	Buchanan	Vern		P	FL16	2019	12/29/2019	20013825
Hon.	Buchanan	Vern		X	FL16	2019	4/15/2020	30008706
	Buchwald	David		C	NY17	2019	2/12/2020	10029964
	Buchwald	David		X	NY17	2019	11/13/2019	30006228
Hon.	Buck	Kenneth R.		O	CO04	2019	8/14/2020	10036899
Hon.	Buck	Kenneth R.		X	CO04	2019	4/15/2020	30008707
Dr.	Buck, PhD	George William		C	FL13	2019	3/25/2020	10025117
Hon.	Bucshon	Larry		O	IN08	2019	8/4/2020	10035746
Hon.	Bucshon	Larry		X	IN08	2019	4/15/2020	30008709
Hon.	Budd	Theodore P.		O	NC13	2019	8/4/2020	10036588
Hon.	Budd	Theodore P.		X	NC13	2019	4/15/2020	30008711
	Buehler	Knute		C	OR02	2019	4/3/2020	10032324
	Buehler	Knute		X	OR02	2019	1/9/2020	30007311
	Bullock	Benjamin E.		C	GA07	2019	9/13/2019	10028461
	Bullock	Benjamin E.		X	GA07	2019	6/14/2019	30005956
	Bunkeddeko	Adem		C	NY09	2019	10/25/2019	10029796
	Burch	Lorie		W		2019		8216777
Hon.	Burchett	Tim		O	TN02	2019	8/11/2020	10037979
Hon.	Burchett	Tim		X	TN02	2019	4/15/2020	30008716
	Burdick	Jeff		C	CA07	2019	11/26/2019	8216751
Hon.	Burgess	Michael C.		A	TX26	2019	8/13/2020	10038635
Hon.	Burgess	Michael C.		O	TX26	2019	8/13/2020	10037499
